,reference_date,year,month,n_month,Inflow_L1,Inflow_L2_L3,Outflow_L1,Outflow_L2_L3,Target
40,2022-11-30,2022.0,Nov,11.0,0.0,1.0,0.0,-1.0,387
41,2022-11-30,2022.0,Nov,11.0,0.0,10.0,-4.0,-4.0,387
42,2022-11-30,2022.0,Nov,11.0,1.0,20.0,-2.0,-41.0,387
43,2022-11-30,2022.0,Nov,11.0,1.0,16.0,0.0,-15.0,387
44,2022-10-31,2022.0,Oct,10.0,0.0,0.0,0.0,0.0,390
45,2022-10-31,2022.0,Oct,10.0,1.0,6.0,0.0,-15.0,390
46,2022-10-31,2022.0,Oct,10.0,5.0,15.0,0.0,-34.0,390
47,2022-10-31,2022.0,Oct,10.0,2.0,14.0,0.0,-15.0,390
48,2022-09-30,2022.0,Sep,9.0,0.0,0.0,0.0,0.0,394
49,2022-09-30,2022.0,Sep,9.0,2.0,8.0,-6.0,-16.0,394
50,2022-09-30,2022.0,Sep,9.0,2.0,16.0,-7.0,-26.0,394
51,2022-09-30,2022.0,Sep,9.0,1.0,5.0,-1.0,-22.0,394
52,2022-08-31,2022.0,Aug,8.0,0.0,0.0,0.0,0.0,397
53,2022-08-31,2022.0,Aug,8.0,0.0,2.0,0.0,-7.0,397
54,2022-08-31,2022.0,Aug,8.0,3.0,22.0,-1.0,-11.0,397
55,2022-08-31,2022.0,Aug,8.0,1.0,17.0,0.0,-5.0,397
56,2022-07-31,2022.0,Jul,7.0,0.0,1.0,0.0,-1.0,401
57,2022-07-31,2022.0,Jul,7.0,0.0,9.0,0.0,-2.0,401
58,2022-07-31,2022.0,Jul,7.0,1.0,25.0,0.0,-15.0,401
59,2022-07-31,2022.0,Jul,7.0,2.0,11.0,-1.0,-14.0,401
60,2022-06-30,2022.0,Jun,6.0,0.0,1.0,0.0,0.0,404
61,2022-06-30,2022.0,Jun,6.0,2.0,5.0,-2.0,-12.0,404
62,2022-06-30,2022.0,Jun,6.0,7.0,39.0,-4.0,-24.0,404
63,2022-06-30,2022.0,Jun,6.0,2.0,14.0,-2.0,-25.0,404
64,2022-05-31,2022.0,May,5.0,0.0,0.0,0.0,0.0,408
65,2022-05-31,2022.0,May,5.0,2.0,13.0,0.0,-9.0,408
66,2022-05-31,2022.0,May,5.0,6.0,27.0,0.0,-24.0,408
67,2022-05-31,2022.0,May,5.0,5.0,11.0,0.0,-14.0,408
68,2022-04-30,2022.0,Apr,4.0,0.0,0.0,0.0,-1.0,412
69,2022-04-30,2022.0,Apr,4.0,2.0,6.0,-3.0,-8.0,412
70,2022-04-30,2022.0,Apr,4.0,0.0,16.0,-2.0,-21.0,412
71,2022-04-30,2022.0,Apr,4.0,1.0,16.0,-3.0,-11.0,412
72,2022-03-31,2022.0,Mar,3.0,0.0,1.0,0.0,0.0,415
73,2022-03-31,2022.0,Mar,3.0,2.0,13.0,0.0,-11.0,415
74,2022-03-31,2022.0,Mar,3.0,4.0,22.0,0.0,-21.0,415
75,2022-03-31,2022.0,Mar,3.0,3.0,25.0,-1.0,-13.0,415
76,2022-02-28,2022.0,Feb,2.0,0.0,1.0,0.0,0.0,419
77,2022-02-28,2022.0,Feb,2.0,1.0,12.0,0.0,-6.0,419
78,2022-02-28,2022.0,Feb,2.0,3.0,17.0,-6.0,-16.0,419
79,2022-02-28,2022.0,Feb,2.0,1.0,9.0,-4.0,-14.0,419
80,2022-01-31,2022.0,Jan,1.0,0.0,0.0,0.0,0.0,422
81,2022-01-31,2022.0,Jan,1.0,2.0,8.0,0.0,-3.0,422
82,2022-01-31,2022.0,Jan,1.0,4.0,21.0,0.0,-12.0,422
83,2022-01-31,2022.0,Jan,1.0,2.0,14.0,0.0,-5.0,422
84,,,,,,,,,383
85,,,,,,,,,377
86,,,,,,,,,371
